recId|SeqNumber|seqLength|displayLatitude|displayLongitude|district|county|city|postalCode|state|country
29853|0|0||||||||
29861|0|0||||||||
29895|0|0||||||||
29922|0|0||||||||
29935|0|0||||||||
29952|0|0||||||||
29957|0|0||||||||
29961|0|0||||||||
29963|0|0||||||||
29988|0|0||||||||
29989|0|0||||||||
29992|0|0||||||||
30017|0|0||||||||
30021|0|0||||||||
30103|0|0||||||||
30111|0|0||||||||
30251|0|0||||||||
30291|0|0||||||||
30298|0|0||||||||
30299|0|0||||||||
30314|0|0||||||||
30543|0|0||||||||
30592|0|0||||||||
30628|0|0||||||||
30694|0|0||||||||
30696|0|0||||||||
30736|0|0||||||||
30752|0|0||||||||
30769|0|0||||||||
30784|0|0||||||||
30874|0|0||||||||
30910|0|0||||||||
30940|0|0||||||||
30942|0|0||||||||
30948|0|0||||||||
31000|0|0||||||||
31001|0|0||||||||
31017|0|0||||||||
31042|0|0||||||||
31110|0|0||||||||
31220|0|0||||||||
31222|0|0||||||||
31251|0|0||||||||
31284|0|0||||||||
31291|0|0||||||||
31332|0|0||||||||
31357|0|0||||||||
31437|0|0||||||||
31450|0|0||||||||
31453|0|0||||||||
31460|0|0||||||||
31462|0|0||||||||
31476|0|0||||||||
31482|0|0||||||||
31606|0|0||||||||
31609|0|0||||||||
31639|0|0||||||||
31684|0|0||||||||
31697|0|0||||||||
31720|0|0||||||||
31794|0|0||||||||
31803|0|0||||||||
31836|0|0||||||||
32128|0|0||||||||
32138|0|0||||||||
32262|0|0||||||||
32622|0|0||||||||
32739|0|0||||||||
32867|0|0||||||||
32871|0|0||||||||
32979|0|0||||||||
33222|0|0||||||||
33431|0|0||||||||
33445|0|0||||||||
33488|0|0||||||||
33526|0|0||||||||
33575|0|0||||||||
33702|0|0||||||||
33757|0|0||||||||
33758|0|0||||||||
33931|0|0||||||||
33938|0|0||||||||
33955|0|0||||||||
33965|0|0||||||||
33973|0|0||||||||
33974|0|0||||||||
34154|0|0||||||||
34165|0|0||||||||
34176|0|0||||||||
34232|0|0||||||||
34289|0|0||||||||
34331|0|0||||||||
34417|0|0||||||||
34486|0|0||||||||
34572|0|0||||||||
34716|0|0||||||||
34726|0|0||||||||
34734|0|0||||||||
34753|0|0||||||||
34817|0|0||||||||
34877|0|0||||||||
34936|0|0||||||||
35053|0|0||||||||
35147|0|0||||||||
35441|0|0||||||||
35633|0|0||||||||
35814|0|0||||||||
35833|0|0||||||||
35841|0|0||||||||
35861|0|0||||||||
35870|0|0||||||||
35885|0|0||||||||
35886|0|0||||||||
35910|0|0||||||||
35916|0|0||||||||
35919|0|0||||||||
